src,trg
"Monte-Carlo approach to multiparticle production in a quark-parton model. II. Transverse momenta, energy dependence of average multiplicities, and inclusive spectra",Current Matrix Elements from a Relativistic Quark Model
Modeling Extreme Mass Ratio Inspirals within the Effective-One-Body Approach,"Evolution of circular, nonequatorial orbits of Kerr black holes due to gravitational-wave emission"
Measurement of lifetimes in Mg23,"Direct Measurements of Na22(p,γ)Mg23 Resonances and Consequences for Na22 Production in Classical Novae"
Magnetic trapping of ultracold Rydberg atoms in low angular momentum states,Evidence for Coherent Collective Rydberg Excitation in the Strong Blockade Regime
Flat bands and nontrivial topological properties in an extended Lieb lattice,Flat band states: Disorder and nonlinearity
Search for Lorentz violation in short-range gravity,Atom-Interferometry Tests of the Isotropy of Post-Newtonian Gravity
Parametrically Driven Ion Cyclotron Waves and Intense Ion Heating,Possible Chain of Resonances
Hypernucleus Λ40Ca and recent hyperon-nucleon potentials,An introductory guide to effective operators in nuclei
Underdamped commensurate dynamics in a driven Frenkel-Kontorova–type model,Symmetry of periodically distorted crystals
Population dynamics in a Floquet realization of the Harper-Hofstadter Hamiltonian,Long-time Behavior of Isolated Periodically Driven Interacting Lattice Systems
Elastic and inelastic scattering of 50-MeV pions from Si28 and Si30,Lifetimes of Levels of S30 and the Variation of E2 Transition Strengths with Tz and A
Study of nuclear shapes in Tl isotopes via excited state giant dipole resonance studies in the reaction O16+181Ta,Statistical giant dipole resonance decay of highly excited states of Cu63
Energy gain of an electron by a laser pulse in the presence of radiation reaction,Relativistic warm plasma theory of nonlinear laser-driven electron plasma waves
Quantum states representing perfectly secure bits are always distillable,Quantum Key Distribution Based on Arbitrarily Weak Distillable Entangled States
Non-Hermitian localization in biological networks,Spectra of sparse regular graphs with loops
Temperatures and excitation energies of hot nuclei in the reactions of S32+Ag and O16+Ag at 30 MeV/nucleon,Basis for a Characteristic Temperature in Nuclear Fragmentation
Cross Section and Polarization in the Photodisintegration of the Deuteron,Photodisintegration of the Deuteron in the Medium Energy Range
Dirac right-handed sneutrino dark matter and its signature in the gamma-ray lines,LHC phenomenology of a two-Higgs-doublet neutrino mass model
Evolution of nuclear shapes in medium mass isotopes from a microscopic perspective,Phase/shape coexistence in 152Sm in the geometric collective model
Suppressing Spectral Diffusion of Emitted Photons with Optical Pulses,Electrical Tuning of Single Nitrogen-Vacancy Center Optical Transitions Enhanced by Photoinduced Fields
Exact solution of Wolff's model of a quasimagnetic impurity in a metal,Temperature-Dependent Susceptibility of the Symmetric Anderson Model: Connection to the Kondo Model
Numerical evaluation of convex-roof entanglement measures with applications to spin rings,Entanglement of Formation of an Arbitrary State of Two Qubits
Methods for analyzing anisotropic flow in relativistic nuclear collisions,Anisotropy as a signature of transverse collective flow
O(4) Expansion of Off-Shell Scattering Amplitudes and the Most General Form of Regge Trajectories and Residues for Arbitrary Spins. II,Covariant Approach to Kinematic Constraint Relations for Helicity Amplitudes
Distribution of K X Rays as a Function of Mass and Atomic Number in the Spontaneous Fission of Cf252,Velocity and Angular Distributions of Prompt Neutrons from Spontaneous Fission of Cf252
Mean-field model for the density of states of jammed soft spheres,Statistics and Properties of Low-Frequency Vibrational Modes in Structural Glasses
Theory of a reconstructive structural transformation in capsids of icosahedral viruses,Viral Self-Assembly as a Thermodynamic Process
Alternative solvable description of the E(5) critical point symmetry in the interacting boson model,The sextic oscillator as a γ-independent potential
Demonstrating nonclassicality and non-Gaussianity of single-mode fields: Bell-type tests using generalized phase-space distributions,Uncertainty Inequalities as Entanglement Criteria for Negative Partial-Transpose States
Redeposition of sputtered material is a nonlinear effect,Observation and Modeling of Interrupted Pattern Coarsening: Surface Nanostructuring by Ion Erosion
Gate-controlled conductance through bilayer graphene ribbons,Electronic transport through bilayer graphene flakes
Nonspectator effects and B meson lifetimes from a field-theoretic calculation,Four-quark operators relevant to B meson lifetimes from QCD sum rules
Full two-electron calculations of antiproton collisions with molecular hydrogen,"Antiproton and proton collisions with the alkali-metal atoms Li, Na, and K"
Loss of coherence in cavity-polariton condensates: Effect of disorder versus exciton reservoir,Coherent and Incoherent States of the Radiation Field
"Two-magnon Raman scattering in A0.8Fe1.6Se2 systems (A=K, Rb, Cs, and Tl): Competition between superconductivity and antiferromagnetic order",Optical conductivity of superconducting Rb2Fe4Se5 single crystals
Asymmetry in Multiple-Electron Capture Revealed by Radiative Charge Transfer in Ar Dimers,Interatomic Coulombic Decay following Photoionization of the Helium Dimer: Observation of Vibrational Structure
Neutron-scattering and ab initio molecular-dynamics study of vibrations in glassy GeSe2,Network dynamics of chalcogenide glasses. I. Germanium diselenide
Quantum cryptography using pulsed homodyne detection,Quantum cryptography
Finite-volume and magnetic effects on the phase structure of the three-flavor Nambu–Jona-Lasinio model,Volume and quark mass dependence of the chiral phase transition
Observation of Dressed Excitonic States in a Single Quantum Dot,Optical Pumping of Quantum-Dot Nuclear Spins
Possibility of vortex lattice structural phase transition in the superconducting pnictide Ba(Fe0.925Co0.075)2As2,Magnetic relaxation in high-temperature superconductors
High-quality electron beam generation in a proton-driven hollow plasma wakefield accelerator,Mitigation of the Hose Instability in Plasma-Wakefield Accelerators
"Explaining the CMS excesses, baryogenesis, and neutrino masses in a E6 motivated U(1)N model",Search for Electron Neutrino Appearance at the Δm2∼1  eV2 Scale
Ultrafast stimulated Raman parallel adiabatic passage by shaped pulses,Colloquium: Coherently controlled adiabatic passage
Axial-Vector Sum Rules for He3,Absorption of Stopped π− Mesons by He3 and Nuclear Correlations
Synthesis of superheavy nuclei: A search for new production reactions,Search for Superheavy Elements in the Bombardment of Cm248 with Ca48
Associated Higgs production in CP-violating supersymmetry: Probing the “open hole” at the Large Hadron Collider,Higgs boson decays in the minimal supersymmetric standard model with radiative Higgs sector CP violation
Formation of interfaces between In and Au and GaAs(100) studied with soft-x-ray photoemission spectroscopy,"Adatom-induced donor states during the early stages of Schottky-barrier formation: Ga, In, and Pb on Si(113)"
Evidence for Incommensurate Spin Fluctuations in Sr2RuO4,Structural stability of Sr2RuO4
"SU(2)×U(1) vectorlike model: New leptons, quarks, and the axion question",Upper Limit on Parity-Nonconserving Optical Rotation in Atomic Bismuth
Macroscopic phase coherence of defective vortex lattices in two dimensions,Pinning and I-V characteristics of a two-dimensional defective flux-line lattice
Connecting velocity and entanglement in quantum walks,Entangling power of disordered quantum walks
Electron-Mediated Phonon-Phonon Coupling Drives the Vibrational Relaxation of CO on Cu(100),Ab initio molecular dynamics for liquid metals
Kohn-Sham exchange potential exact to first order in ρ(K→)/ρ0,Crystal Potential and Energy Bands of Semiconductors. IV. Exchange and Correlation
Generating and Probing a Two-Photon Fock State with a Single Atom in a Cavity,Trapping States in the Micromaser
Disorder-Induced Magnetoresistance in a Two-Dimensional Electron System,The electronic properties of graphene
Magnetization switching by current and microwaves,Temperature Dependence of Spin-Transfer-Induced Switching of Nanomagnets
Optimizing the output-photon entanglement in multimode optomechanical systems,Realization of the Einstein-Podolsky-Rosen paradox for continuous variables
Many-electron model of equilibrium metal-semiconductor contacts and semiconductor heterojunctions,Density-Functional Theory of the Energy Gap
New investigation of half-lives for the decay modes of V50,Decay of V50
Reexamination of L3 and M1 atomic-level widths of elements 54&lt;~Z&lt;~77,"Systematic multiconfiguration-Dirac-Fock study of the x-ray spectra accompanying the ionization in collision processes: The structure of the Kβ1,3L0Mr lines"
Anderson transitions,Strong disorder effects of a Dirac fermion with a random vector field
"Bags, junctions, and networks of BPS and non-BPS defects",Complete Wetting in Supersymmetric QCD: Why QCD Strings Can End on Domain Walls
Raman spectroscopy of femtosecond multipulse irradiation of vitreous silica: Experiment and simulation,Dynamic structure factor of vitreous silica from first principles: Comparison to neutron-inelastic-scattering experiments
Nuclear structure effects in pion single charge exchange,Isobaric Analog Resonance Widths and the Distribution of Coulomb Mixing Strength in Nuclei
Čerenkov radiation in a causal permeable medium,Fine structure of the Vavilov-Cherenkov radiation
"Accelerating, hyperaccelerating, and decelerating networks",Effect of the accelerating growth of communications networks on their structure
α decay to members of favored bands in both even-even and odd-A nuclei,Systematics of the α-decay to rotational states
Matter-Wave Interferometry with Phase Fluctuating Bose-Einstein Condensates,Relative phase of two Bose-Einstein condensates
Deformed shell effects in Ca48+Bk249 quasifission fragments,Three-dimensional time-dependent Hartree-Fock calculations: Application to O16 + O16 collisions
Density-Functional Approach to the Metal-Insulator Transition in Doped Semiconductors,Shallow-donor ionization energies in the II-VI compounds
Lepton flavor violating Z-boson couplings from nonstandard Higgs interactions,Two-loop contributions of flavor-changing neutral Higgs bosons to μ→eγ
Measurement of the low-energy quenching factor in germanium using an Y88/Be photoneutron source,Energy lost to ionization by 254-eV Ge73 atoms stopping in Ge
Floquet Second-Order Topological Insulators from Nonsymmorphic Space-Time Symmetries,Topology of crystalline insulators and superconductors
Anomalous Hall conductivity: Local orbitals approach,Theory of Electronic Transport in Disordered Binary Alloys: Coherent-Potential Approximation
Measuring interdependences in dissipative dynamical systems with estimated Fokker-Planck coefficients,Comment on “Indispensable Finite Time Corrections for Fokker-Planck Equations from Time Series Data”
Comparing conditions for macrorealism: Leggett-Garg inequalities versus no-signaling in time,Compatibility and noncontextuality for sequential measurements
Single-molecule diffusion in freely suspended smectic films,Light-Scattering Study of Two-Dimensional Molecular-Orientation Fluctuations in a Freely Suspended Ferroelectric Liquid-Crystal Film
Simple formula for the persistent current in disordered one-dimensional rings: Parity and interaction effects,Persistent currents in an interacting 1D disordered ring: Manifestations of the Mott-Hubbard transition
Real-space renormalization-group approach to the random transverse-field Ising model in finite dimensions,Critical behavior and entanglement of the random transverse-field Ising model between one and two dimensions
Singlet particles as cold dark matter in a noncommutative space-time,Photon-neutrino scattering in noncommutative space
Charge exchange reactions and the efficiency of solar neutrino detectors,Empirical Evaluation of Gamow-Teller Strength Function for Cl37 →Ar37 and its Implication in the Cross Section for Solar Neutrino Absorption by Cl37
Non-Markovian Fokker-Planck equation: Solutions and first passage time distribution,Particle Diffusion in a Quasi-Two-Dimensional Bacterial Bath
Realization of an Optomechanical Interface Between Ultracold Atoms and a Membrane,Hamiltonian chaos in a coupled BEC–optomechanical-cavity system
Testing the Chiral Magnetic and Chiral Vortical Effects in Heavy Ion Collisions,Anomalous axion interactions and topological currents in dense matter
Heat transport in Bi2+xSr2−xCuO6+δ: Departure from the Wiedemann-Franz law in the vicinity of the metal-insulator transition,Magnetic-Field-Induced Localization of Quasiparticles in Underdoped La2−xSrxCuO4 Single Crystals
Gauge invariance and the Englert-Brout-Higgs mechanism in non-Hermitian field theories,Broken Symmetries
Lack of a trans-cisoid phase in cis-polyacetylene,Optimized and transferable nonlocal separable ab initio pseudopotentials
Purified self-amplified spontaneous emission free-electron lasers with slippage-boosted filtering,Using the Beam-Echo Effect for Generation of Short-Wavelength Radiation
Quantum computers: Definition and implementations,Quantum computing in arrays coupled by “always-on” interactions
Completion of metric reconstruction for a particle orbiting a Kerr black hole,Late-time decay of gravitational and electromagnetic perturbations along the event horizon
Nuclear structure of even-A chromium isotopes in the band-mixed projected Hartree-Fock model,"Nuclear Resonance Fluorescence with Solid Sources: Mg24, Si28, Cr52, Sr88, and Ce140"
Gauge Theories Based on Quarks and the η→3π Problem,"Gauge Theory of Strong, Weak, and Electromagnetic Interactions"
"O18 states via the C14(Li6,d)O18 reaction at 34 MeV incident energy","Level Structure of O17 and the C13(Li6,d) and C13(Li7,t) Reactions"
Light-charged-particle emission in Ar40-induced reactions: A probe of the very early evolution of the collisions,Pre-equilibrium α Decay in O16 + Al27 Collisions at 65 MeV
Influence of Rashba spin-orbit coupling on the 0-π transition and Kondo temperature in one-dimensional superconductors,Proposal for realizing Majorana fermions in chains of magnetic atoms on a superconductor
Specific heat of Ca0.32Na0.68Fe2As2 single crystals: Unconventional s± multiband superconductivity with intermediate repulsive interband coupling and sizable attractive intraband couplings,Fermi surface in KFe2As2 determined via de Haas–van Alphen oscillation measurements
Potassium-induced empty electronic states on Ag(110),Chemical Trends in Atomic Adsorption on Simple Metals
Gravitational-wave versus binary-pulsar tests of strong-field gravity,Binary pulsars and relativistic gravity
Phase-field-crystal model for ordered crystals,First-principles aluminum database: Energetics of binary Al alloys and compounds
Cold atoms in cavity-generated dynamical optical potentials,All-optical transistor based on a cavity optomechanical system with a Bose-Einstein condensate
Melting in three-dimensional and two-dimensional Yukawa systems,Tension and Stiffness of the Hard Sphere Crystal-Fluid Interface
Properties of argon adlayers deposited on graphite from Monte Carlo calculations,"Melting transition of submonolayer xenon, krypton, and argon films on graphite: A computer simulation study"
Decoherence and 1/f Noise in Josephson Qubits,Quantum-state engineering with Josephson-junction devices
Chiral Modes at Exceptional Points in Exciton-Polariton Quantum Fluids,Excitations in a Nonequilibrium Bose-Einstein Condensate of Exciton Polaritons
Sound Velocity Anomaly at the Mott Transition: Application to Organic Conductors and V2O3,Phonon anomalies due to strong electronic correlations in layered organic metals
Spin waves in terbium. I. Two-ion magnetic anisotropy,"Theory of magnetic properties of heavy rare-earth metals: Temperature dependence of magnetization, anisotropy, and resonance energy"
Gauge-Invariant Scaling Model of Current Interactions with Regge Behavior and Finite Fixed-Pole Sum Rules,Quantum Field Theories in the Infinite-Momentum Frame. IV. Scattering Matrix of Vector and Dirac Fields and Perturbation Theory
Recoil properties of target fragments from the interaction of silver with 218 GeV O16 ions,Production of Sc nuclides in the interaction of U238 with 1-300 GeV protons
Knight Shift and Leading Superconducting Instability from Spin Fluctuations in Sr2RuO4,Coherence-Incoherence Crossover and the Mass-Renormalization Puzzles in Sr2RuO4
On the Recombination of Electrons and Positrons,On the Production of the Positive Electron
Non-Gaussianity from the hybrid potential,New mechanism for generating density perturbations from inflation
Gauge field localization on the Bloch brane,An Alternative to Compactification
Spontaneous emission in non-Hermitian optical systems: Distributed-feedback semiconductor lasers,Quantum Noise. IV. Quantum Theory of Noise Sources
New measurement of the Dalitz-decay branching ratio of the π0,Comments on proposed explanations for the muonic-atom x-ray discrepancy
Generalized parton distributions in a light-front nonperturbative approach,Scattering in time-dependent basis light-front quantization
The μ problem and the axion in gauge mediation,Strong CP and μ problems in theories with gauge mediated supersymmetry breaking
Deformations of quasi-two-dimensional electron gas clusters,Hund's Rules and Spin Density Waves in Quantum Dots
Self-organized criticality and universality in a nonconservative earthquake model,Self-Organized Criticality and Synchronization in a Lattice Model of Integrate-and-Fire Oscillators
Four-point vertex in the Hubbard model and partial bosonization,Why is Tc of the oxide superconductors so low?
Nuclear Structure of Sc43. II. Gamma-Ray Angular Correlations,Nuclear Moments of Sc43 and Sc47
Phase averaging and generalized eikonal representations,Correspondence of partial-wave and impact-parameter representations
Surface and subsurface phonons of Bi(111) measured with helium atom scattering,Interaction of Phonons and Dirac Fermions on the Surface of Bi2Se3: A Strong Kohn Anomaly
Quantum-Mechanical Calculation of Ionization-Potential Lowering in Dense Plasmas,A Simplification of the Hartree-Fock Method
Evolution of laser microfilaments in the wake of a femtosecond driving pulse,Collapse and Stability of Necklace Beams in Kerr Media
"Wavelength measurement of the prominent M1 transition in the ground state of Ti-like Pt, Au, and Tl ions","UV light from the ground term of Ti-like ytterbium, tungsten, and bismuth"
Superfluid pairing between fermions with unequal masses,Experimental Study of the BEC-BCS Crossover Region in Lithium 6
Geometric frustration induces the transition between rotation and counterrotation in swirled granular media,Emergent Collective Phenomena in a Mixture of Hard Shapes through Active Rotation
One-Step Synthesis of Multiatom Greenberger-Horne-Zeilinger States,Quantum cryptography based on Bell’s theorem
X-ray specular-reflectivity study of the liquid-vapor density profile of He4,Particle detection by evaporation from superfluid helium
Superconductivity from piezoelectric interactions in Weyl semimetals,Time-reversal-invariant topological superconductivity in doped Weyl semimetals
Transport in superconductor/ferromagnet/superconductor junctions dominated by interface resistance,"Transition from metallic to tunneling regimes in superconducting microconstrictions: Excess current, charge imbalance, and supercurrent conversion"
Semiclassical quantization with bifurcating orbits,Bifurcations of closed orbits in singlet helium Stark spectra
Heterogeneous and Homogeneous Diffusivity in an Ion-Conducting Glass,Long-Lived Dynamic Heterogeneity in a Relaxor Ferroelectric
Calculation of mode coupling for quadrupole excitations in a Bose-Einstein condenstate,Observation of the Scissors Mode and Evidence for Superfluidity of a Trapped Bose-Einstein Condensed Gas
Unconventional Fermi surface spin textures in the BixPb1−x/Ag(111) surface alloy,Tunneling conductance of a two-dimensional electron gas with Rashba spin-orbit coupling
Calculated electronic and magnetic structure of the nitrides NiFe3N and PdFe3N,Magnetic Structure of Fe4N
Ultraintense Laser-Produced Fast-Electron Propagation in Gas Jets,Fast Electron Deposition in Laser Shock Compressed Plastic Targets
Shot noise in resonant-tunneling structures,Noise characteristics of ultrasmall resonant-tunneling structures
Two-photon ionization of xenon at 193 nm,Resonantly Enhanced Multiphoton Ionization and Third-Harmonic Generation in Xenon Gas
Heat Flux and Entropy Produced by Thermal Fluctuations,Microscopic Analysis of a Thermal Brownian Motor
Structural reactions of Si{111} with cobalt and formation of cobalt disilicide,Cobalt disilicide epitaxial growth on the silicon (111) surface
Plasmons on the edge of MoS2 nanostructures,Dynamical response of a one-dimensional quantum-wire electron system
Doping evolution of the second magnetization peak and magnetic relaxation in (Ba1−xKx)Fe2As2 single crystals,Electronic Phase Separation in the Slightly Underdoped Iron Pnictide Superconductor Ba1−xKxFe2As2
Observation of Two Nondispersive Magnetic Excitations in NiO by Resonant Inelastic Soft-X-Ray Scattering,Infrared Absorption and Raman Scattering by Two-Magnon Processes in NiO
Component separation in harmonically trapped boson-fermion mixtures,Magneto-optical trapping of Fermionic potassium atoms
Marrying Excitons and Plasmons in Monolayer Transition-Metal Dichalcogenides,Spin-dependent optical properties in strained silicon and germanium
Electron-electron correlations and the Aharonov-Bohm effect in mesoscopic rings,Average persistent current in a mesoscopic ring
Infrared Lattice Absorption in Ionic and Homopolar Crystals,Far Infrared Transmission of Silicon and Germanium
Electronic surface resonances of crystals,Comparison between some recent W(001) surface-state resonance studies above the vacuum level
Tribology of Sliding Elastic Media,Cellular-automaton model of earthquakes with deterministic dynamics
Hide It to See It Better: A Robust Setup to Probe the Thermal Casimir Effect,Casimir effect in a superconducting cavity and the thermal controversy
Reaching Li7 quantum degeneracy with a minitrap,Collisional two- and three-body decay rates of dilute quantum gases at ultralow temperatures
Pinned states in Josephson arrays: A general stability theorem,Superconducting states and depinning transitions of Josephson ladders
"Quasielastic (e,e’) sum rule saturation","Final state interactions and relativistic effects in the (e→,e’p) reaction"
Large and exact quantum degeneracy in a skyrmion magnet,Properties of a Classical Spin Liquid: The Heisenberg Pyrochlore Antiferromagnet
Stabilization of Majorana Modes in Magnetic Vortices in the Superconducting Phase of Topological Insulators using Topologically Trivial Bands,Paired states of fermions in two dimensions with breaking of parity and time-reversal symmetries and the fractional quantum Hall effect
Statistically consistent coarse-grained simulations for critical phenomena in complex networks,Skeleton and Fractal Scaling in Complex Networks
Integral fluctuation theorems for stochastic resetting systems,Optimal Stochastic Restart Renders Fluctuations in First Passage Times Universal
Nonlocal effects in the electron-positron interaction in metals,Electron-positron density-functional theory
Magnetic Flux Noise in dc SQUIDs: Temperature and Geometry Dependence,Spectroscopy of Energy-Level Splitting between Two Macroscopic Quantum States of Charge Coherently Superposed by Josephson Coupling
Evaluation of dynamical models: Dissipative synchronization and other techniques,Use of synchronization and adaptive control in parameter estimation from a time series
Visualizing and Steering Dissociative Frustrated Double Ionization of Hydrogen Molecules,Simultaneous real-time tracking of wave packets evolving on two different potential curves in H2+ and D2+
Inferring low-dimensional microstructure representations using convolutional neural networks,Modeling heterogeneous materials via two-point correlation functions: Basic principles
Swimming efficiency in a shear-thinning fluid,Propulsion of Microorganisms by Surface Distortions
Ferromagnetism in Pd thin films induced by quantum well states,"Electronic structure, optical and magnetic properties of fcc palladium"
Electrons and positrons in metal vacancies,Screened Interionic Potential of the Simple Metals
Coupled-channel calculation of stopping powers for intermediate-energy light ions penetrating atomic H and He targets,Electron transfer in p−He+ and He2+-H collisions using a Sturmian basis
Synchrotron photoemission studies of the Sb-passivated Si surfaces: Degenerate doping and bulk band dispersions,Adsorption and interaction of Sb on Si(001) studied by scanning tunneling microscopy and core-level photoemission
Decoherence from spin environments,Spin diffusion in NMR in solids
New constraint on scalar Gauss-Bonnet gravity and a possible explanation for the excess of the orbital decay rate in a low-mass x-ray binary,Probing the size of extra dimensions with gravitational wave astronomy
Systematics of shape resonances in reactive collisions,Universal Properties in Ultracold Ion-Atom Interactions
Degree-dependent network growth: From preferential attachment to explosive percolation,Random graphs with arbitrary degree distributions and their applications
Nuclear recoil spectroscopy of levitated particles,Subkelvin Parametric Feedback Cooling of a Laser-Trapped Nanoparticle
Detection of Spin Entanglement via Spin-Charge Separation in Crossed Tomonaga-Luttinger Liquids,Spin filtering and entanglement detection due to spin-orbit interaction in carbon nanotube cross-junctions
Behavior of granular materials under cyclic shear,Inherent rheology of a granular fluid in uniform shear flow
Cutoff Wave Number for Shear Waves in a Two-Dimensional Yukawa System (Dusty Plasma),Phonon Spectrum in a Plasma Crystal
Magnetic dimers of transition-metal atoms on the Ag(001) surface,"Prediction of Strongly Enhanced Two-Dimensional Ferromagnetic Moments on Metallic Overlayers, Interfaces, and Superlattices"
Impossibility of Bose Condensation or Superconductivity in Partially Finite Geometries,The Bose-Einstein Condensation for Thin Films
Thermal conductivity of one-dimensional Fibonacci quasicrystals,Specific heat anomalies associated with Cantor-set energy spectra
Frustrated spin ladder with alternating spin-1 and spin-12 rungs,Search for quantum dimer phases and transitions in a frustrated spin ladder
"Length-dependent transport properties of (12,0)∕(n,m)∕(12,0) single-wall carbon nanotube heterostructures",Quantum transport through short semiconducting nanotubes: A complex band structure analysis
Onset of spatiotemporal intermittency in a coupled-map lattice,Spatiotemporal Intermittency in Rayleigh-Bénard Convection
Lindblad rate equations,Nonperturbative decay of an atomic system in a cavity
Quantum Phase Transitions of Magnetic Rotons,Quantum critical phenomena
Chiral-odd generalized parton distributions in constituent quark models,Nonperturbative versus perturbative effects in generalized parton distributions
Comment on “Glassy Transition in a Disordered Model for the RNA Secondary Structure”,Overlaps between RNA Secondary Structures
Light-matter interaction in doped microcavities,Excitons in Metals: Infinite Hole Mass
Compass models: Theory and physical motivations,Structural distortions and model Hamiltonian parameters: From LSDA to a tight-binding description of LaMnO3
CP Asymmetries in B0 Decays in the Left-Right Model,Exact left-right symmetry and spontaneous violation of parity
Far-infrared transmission of Bi2Sr2CaCu2O8 films,Infrared studies of ab-plane oriented oxide superconductors
Relation between spin Hall effect and anomalous Hall effect in 3d ferromagnetic metals,Self-induced inverse spin Hall effect in permalloy at room temperature
Ab initio Calculations of Charge Symmetry Breaking in the A=4 Hypernuclei,Four-body calculation of the 0+-1+ binding energy difference in the A=4 Λ hypernuclei
Topological Spin Texture in a Quantum Anomalous Hall Insulator,Quantum Anomalous Hall Effect in Hg1−yMnyTe Quantum Wells
"Ti48(He3, t)V48 reaction","Nuclear Structure of Sc44. I. The Ca44(He3,t)Sc44 Reaction"
Noise-induced cooperative dynamics and its control in coupled neuron models,Controlling chaos
Biphoton generation in a two-level atomic ensemble,Dynamics of atom-mediated photon-photon scattering
Heavy-antiquark–diquark symmetry and heavy hadron molecules: Are there triply heavy pentaquarks?,Modern theory of nuclear forces
Giant spin and orbital moment anisotropies of a Cu-phthalocyanine monolayer,Ab initio calculated XANES and XMCD spectra of Fe(II) phthalocyanine
Nonlocal resistance and magnetoresistance in bulk metals,Magnetoresistance Fluctuations in Mesoscopic Wires and Rings
Nuclear Structure Studies in Isotopes of Nickel and Iron,Location of Neutron Single-Particle Levels from Stripping Reactions
Transport properties in correlated systems: An analytical model,Effect of Correlation on the Ferromagnetism of Transition Metals
Gaussian noise and time-reversal symmetry in nonequilibrium Langevin models,Fluctuations and Irreversibility: An Experimental Demonstration of a Second-Law-Like Theorem Using a Colloidal Particle Held in an Optical Trap
Microscopic Evidence for Field-Induced Magnetism in CeCoIn5,"Field Dependent Coherence Length in the Superclean, High-κ Superconductor CeCoIn5"
From md=me to realistic mass relations in quark-lepton-symmetric models,Universal seesaw mechanism?
"Thermodynamic, Elastic, and Magnetic Properties of Solid Helium",Lattice Defects and the Self-Diffusion and Anomalous Specific Heat in Solid α−He3
Ultrafast magnetostriction and phonon-mediated stress in a photoexcited ferromagnet,Bond-length dependence of charge-transfer excitations and stretch phonon modes in perovskite ruthenates: Evidence of strong p–d hybridization effects
Magnetic structure of the Jahn-Teller system LaTiO3,The Spin-Wave Theory of Antiferromagnetics
Landau-Zener-Stückelberg Interferometry of a Single Electronic Spin in a Noisy Environment,Single-Spin Magnetometry with Multipulse Sensing Sequences
Efficient Auger Charge-Transfer Processes in ZnO,Direct Determination of the Electron-Electron-Hole Auger Threshold Energy in Silicon
Relativistic propagators for ππ resonances and the NN interaction,Effect of Closed Inelastic Channels on the Width of Resonances
Pygmy resonance and low-energy enhancement in the γ-ray strength functions of Pd isotopes,γ-ray strength function method and its application to Pd107
Coherent relaxion dark matter,Experimental tests of the gravitational inverse-square law for mass separations from 2 to 105 cm
Resonant Auger decay of Xe* 4d5∕2−16p: A contribution to the complete experiment from fluorescence polarization studies,Decay channels of the discrete and continuum Xe 4d resonances
Cyclotron motion of two Coulombically interacting ion clouds with implications to Fourier-transform ion cyclotron resonance mass spectrometry,Static properties of a non-neutral 9Be+-ion plasma
Optical Measurements on Magnetite,Temperature-dependent light-scattering studies of the Verwey transition and electronic disorder in magnetite
"Density functional theory for colloidal mixtures of hard platelets, rods, and spheres","Colloids, polymers, and needles: Demixing phase behavior"
Radiative process of two entanglement atoms in de Sitter spacetime,Vacuum fluctuations and radiation reaction contributions to the resonance dipole-dipole interaction between two atoms near a reflecting boundary
Nonequilibrium Mass Transport in the 1D Fermi-Hubbard Model,Quantum distillation: Dynamical generation of low-entropy states of strongly correlated fermions in an optical lattice
Origin of the High-Frequency Contributions to the Dielectric Loss in Supercooled Liquids,Scaling in the relaxation of supercooled liquids
Correlated pair conversion in heavy-ion collisions at the Coulomb barrier,Lichten and Robatino respond
Axial Ward Identity and the Schwinger Mechanism: Applications to the Real-Time Chiral Magnetic Effect and Condensates,Chiral magnetic effect
Systematic perturbation theory for dynamical coarse-graining,Complete positivity of a spin-1∕2 master equation with memory
Transport properties of high-temperature superconductors: Surface vs bulk effect,Collective vortex motion in a-MoGe superconducting thin films
Wake in anisotropic quark-gluon plasma,Measurement of the azimuthal anisotropy for charged particle production in sNN=2.76 TeV lead-lead collisions with the ATLAS detector
Trapped planar three-boson system with spin 1 and with hard-core interactions,Quantized Vortices and Collective Oscillations of a Trapped Bose-Einstein Condensate
Electromagnetically induced transparency in a three-level Λ-type system in rubidium atoms,Inversionless amplification of picosecond pulses due to Zeeman coherence
Density-functional-theory calculations for the silicon vacancy,Efficient iterative schemes for ab initio total-energy calculations using a plane-wave basis set
GW calculation of plasmon excitations in the quasi-one-dimensional organic compound (TMTSF)2PF6,Self-energy correction for the energy bands of silicon by the full-potential linearized augmented-plane-wave method: Effect of the valence-band polarization
Origin of ferroelectricity in the multiferroic barium fluorides BaMF4: A first principles study,t2g versus all 3d localization in LaMO3 perovskites (M=Ti–Cu): First-principles study
Performance analysis of the European X-ray Free Electron Laser 3.9 GHz superconducting cavities,Simulation of nonlinear superconducting rf losses derived from characteristic topography of etched and electropolished niobium surfaces
Scheme for decoherence control in microwave cavities,Controlled entanglement of two field modes in a cavity quantum electrodynamics experiment
Witness for initial correlations among environments,Initial correlations in open-systems dynamics: The Jaynes-Cummings model
Thermal and chemical freeze-out in spectator fragmentation,Experimental determination of fragment excitation energies in multifragmentation events
Equation of state of a vortex fluid,Partition function for a two-dimensional plasma in the random-phase approximation
Explanation for the transverse radiation force observed on a vertically hanging fiber,Observation of a Push Force on the End Face of a Nanometer Silica Filament Exerted by Outgoing Light
Nanometer-sized structures and the transition from the molecular to the solid state,Computational treatment of the interaction of carbon monoxide with extended surfaces
